sigle;ap_name;status;funder;name;debut;end;amount;currency
ABV;Ambatovaky;RS;KFW;KFW;01/06/2024;01/06/2028;12000000;Euro
ABV;Ambatovaky;RS;FAPBM;FAPBM;01/01/2017;01/01/2029;2000000;Dollars
ABV;Ambatovaky;RS;BNCCREDD+;BNCCREDD+;01/06/2024;01/12/2025;13814493396.74;Ariary
ABV;Ambatovaky;RS;FAPBM;FAPBM (PAG);01/03/2024;01/12/2025;665426400;Ariary
ABT;Ambohitantely;RS;KFW;KFW;01/06/2024;01/06/2028;12000000;Euro
ABT;Ambohitantely;RS;FAPBM;FAPBM;01/01/2017;01/01/2029;2000000;Dollars
ABT;Ambohitantely;RS;CONSERVATION ALLIES;Conservation Allies;01/06/2025;01/06/2026;722000000;Ariary
ABT;Ambohitantely;RS;FAPBM;FAPBM (PAG);01/03/2024;01/12/2025;665426400;Ariary
ALZ;Analamazaotra;PN;KFW;KFW;01/06/2024;01/06/2028;12000000;Euro
ALZ;Analamazaotra;PN;FAPBM;FAPBM;01/01/2017;01/01/2029;2000000;Dollars
ALZ;Analamazaotra;PN;BNCCREDD+;BNCCREDD+;01/06/2024;01/12/2025;13814493396.74;Ariary
ALZ;Analamazaotra;PN;FAPBM;FAPBM (PAG);01/03/2024;01/12/2025;665426400;Ariary
ANL;Analamerana;RS;KFW;KFW (PCD II);01/05/2021;01/12/2025;7100000;Euro
ANL;Analamerana;RS;KFW;KFW;01/06/2024;01/06/2028;12000000;Euro
ANL;Analamerana;RS;FAPBM;FAPBM;01/01/2017;01/01/2029;2000000;Dollars
ANL;Analamerana;RS;GIZ;GIZ - PROGRAMME PADDI;;;;
AHL;Andohahela;PN;KFW;KFW;01/06/2024;01/06/2028;12000000;Euro
AHL;Andohahela;PN;FAPBM;FAPBM;01/01/2017;01/01/2029;2000000;Dollars
AHL;Andohahela;PN;KOICA;"KOICA
UNESCO
";01/09/2024;01/12/2025;286267500;Ariary
AHL;Andohahela;PN;CONSERVATION ALLIES;CONSERVATION ALLIES;01/06/2025;01/06/2026;722000000;Ariary
AHL;Andohahela;PN;UNION EUROPEENNE;UNION EUROPEENNE;01/07/2025;01/07/2029;9252000;Euro
AHL;Andohahela;PN;FONDATION TANY MEVA;"FFEM
TANY MEVA";;;;
AHL;Andohahela;PN;GIZ;GIZ - PROGRAMME PADDI;;;;
ANR;Andranomena;RS;KFW;KFW (PCD II);01/05/2021;01/12/2025;7100000;Euro
ANR;Andranomena;RS;KFW;KFW;01/06/2024;01/06/2028;12000000;Euro
ANR;Andranomena;RS;FAPBM;FAPBM;01/01/2017;01/01/2029;2000000;Dollars
ANR;Andranomena;RS;FONDATION HEMPEL;"FONDATION HEMPEL 
FAPBM";01/06/2023;01/06/2028;2351893000;Ariary
ANR;Andranomena;RS;FAPBM;FAPBM (PAG);01/03/2024;01/12/2025;665426400;Ariary
ARG;Andringitra;PN;KFW;KFW;01/06/2024;01/06/2028;12000000;Euro
ARG;Andringitra;PN;FAPBM;FAPBM;01/01/2017;01/01/2029;2000000;Dollars
ARG;Andringitra;PN;FAPBM;FAPBM (PAG);01/03/2024;01/12/2025;665426400;Ariary
ARG;Andringitra;PN;BANQUE AFRICAINE DE DEVELOPPEMENT;BANQUE AFRICAINE DE DEVELOPPEMENT;01/04/2025;01/12/2029;9428000;Dollars
AJS;Anjanaharibe Sud;RS;KFW;KFW;01/06/2024;01/06/2028;12000000;Euro
